Имя;Город;Комментарий;Рейтинг
Наташа;Самара;средне;4
Наташа;Самара;средне;5
Наташа;Самара;средне;5
Наташа;Самара;средне;4
Наташа;Самара;средне;3
Наташа;Самара;средне;5
Наташа;Самара;средне;5
Наташа;Самара;средне;4
Наташа;Самара;средне;5
Наташа;Самара;средне;3
Наташа;Самара;средне;4
Наташа;Самара;средне;3
Наташа;Самара;средне;5
Наташа;Самара;средне;4
Наташа;Самара;средне;4
Наташа;Самара;средне;5
Наташа;Самара;средне;3
Наташа;Самара;средне;4
Наташа;Самара;средне;4
Наташа;Самара;средне;5
Наташа;Самара;средне;3
Наташа;Самара;средне;4
Наташа;Самара;средне;5
Наташа;Самара;средне;5
Наташа;Самара;средне;3
Наташа;Самара;средне;4
Наташа;Самара;средне;5
Наташа;Самара;средне;5
Наташа;Самара;средне;4
Наташа;Самара;средне;5
Наташа;Самара;средне;3
Наташа;Самара;средне;4
Наташа;Самара;средне;4
Наташа;Самара;средне;5
Наташа;Самара;средне;4
Наташа;Самара;средне;4
Наташа;Самара;средне;5
Наташа;Самара;средне;4
Наташа;Самара;средне;3
Наташа;Самара;средне;4
Наташа;Самара;средне;5
Наташа;Самара;средне;3
